28
Alwan|Amer|11|56|78|90|100
Doe|Joe|10|70|78|90|34
Nip|Cat|12|89|20|56|45
Cena|John|10|100|89|90|100
Ya|Do|9|90|45|89|56
Kid|Some|10|13|14|15|67
Alwan|Ahmad|11|54|68|80|95
Alwan|Amer|11|56|78|90|100
Doe|Joe|10|70|78|90|34
Nip|Cat|12|89|20|56|45
Cena|John|10|100|89|90|100
Ya|Do|9|90|45|89|56
Kid|Some|10|13|14|15|67
Alwan|Ahmad|11|54|68|80|95
Alwan|Amer|11|56|78|90|100
Doe|Joe|10|70|78|90|34
Nip|Cat|12|89|20|56|45
Cena|John|10|100|89|90|100
Ya|Do|9|90|45|89|56
Kid|Some|10|13|14|15|67
Alwan|Ahmad|11|54|68|80|95
Alwan|Amer|11|56|78|90|100
Doe|Joe|10|70|78|90|34
Nip|Cat|12|89|20|56|45
Cena|John|10|100|89|90|100
Ya|Do|9|90|45|89|56
Kid|Some|10|13|14|15|67
Alwan|Ahmad|11|54|68|80|95
